furnished,garage,garden,kitchen_equipment,kitchen_type,livable_surface,locality,number_of_bathrooms,number_of_bedrooms,number_of_facades,number_of_floors,price,property_code,property_url,state_of_the_property,surface_garden,surface_terrace,swimming_pool,terrace,total_land_surface,type_of_heating,type_of_property
No,,Yes,Partially equipped,,99 m²,2500 Lier,1.0,3.0,2.0,,  239 000 €  ,RBT69212,https://immovlan.be/en/detail/residence/for-sale/2500/lier/rbt69212,To be renovated,18 m²,18 m²,,Yes,81 m²,Gas,Residence
No,Yes,Yes,Super equipped,,123 m²,2440 Geel,1.0,3.0,3.0,,  310 000 €  ,RBT67563,https://immovlan.be/en/detail/residence/for-sale/2440/geel/rbt67563,Normal,,,,Yes,505 m²,Fuel oil,Residence
No,,,,,102 m²,2260 Zoerle-Parwijs,1.0,2.0,2.0,2.0,  195 000 €  ,RBT67578,https://immovlan.be/en/detail/apartment/for-sale/2260/zoerle-parwijs/rbt67578,Normal,,,,,,,Apartment
No,,Yes,Super equipped,,93 m²,2500 Lier,1.0,2.0,2.0,3.0,  302 000 €  ,RBT67552,https://immovlan.be/en/detail/apartment/for-sale/2500/lier/rbt67552,New,,8 m²,,Yes,,Gas,Apartment
No,,Yes,Super equipped,,116 m²,2500 Lier,1.0,2.0,2.0,3.0,  361 200 €  ,RBT67551,https://immovlan.be/en/detail/apartment/for-sale/2500/lier/rbt67551,New,27 m²,8 m²,,Yes,,Gas,Apartment
No,,Yes,Partially equipped,,126 m²,2300 Turnhout,1.0,2.0,2.0,,  239 000 €  ,RBT66812,https://immovlan.be/en/detail/residence/for-sale/2300/turnhout/rbt66812,Normal,39 m²,,,,137 m²,Gas,Residence
No,,,,,71 m²,2650 Edegem,1.0,2.0,,,  275 000 €  ,RBT66872,https://immovlan.be/en/detail/ground-floor/for-sale/2650/edegem/rbt66872,,,,,,,,Ground
No,Yes,,,,118 m²,2300 Turnhout,1.0,3.0,3.0,5.0,  169 000 €  ,RBT66859,https://immovlan.be/en/detail/apartment/for-sale/2300/turnhout/rbt66859,To be renovated,,,,Yes,,Gas,Apartment
No,,Yes,,,133 m²,2300 Turnhout,1.0,2.0,2.0,,  275 000 €  ,RBT66819,https://immovlan.be/en/detail/residence/for-sale/2300/turnhout/rbt66819,Normal,75 m²,,,Yes,165 m²,Gas,Residence
No,,Yes,,,155 m²,2300 Turnhout,1.0,3.0,2.0,,  239 000 €  ,RBT66818,https://immovlan.be/en/detail/residence/for-sale/2300/turnhout/rbt66818,,175 m²,,,,313 m²,Gas,Residence
No,,Yes,Super equipped,,201 m²,2800 Mechelen,1.0,4.0,3.0,,  595 000 €  ,RBT66782,https://immovlan.be/en/detail/residence/for-sale/2800/mechelen/rbt66782,Excellent,,,,,565 m²,Gas,Residence
No,Yes,Yes,Partially equipped,,99 m²,2830 Willebroek,1.0,2.0,2.0,,  299 000 €  ,RBT66249,https://immovlan.be/en/detail/residence/for-sale/2830/willebroek/rbt66249,Normal,103 m²,,,Yes,202 m²,Gas,Residence
No,,Yes,Partially equipped,,407 m²,2860 Sint-Katelijne-Waver,1.0,6.0,3.0,,  550 000 €  ,RBT66214,https://immovlan.be/en/detail/residence/for-sale/2860/sint-katelijne-waver/rbt66214,New,,,,Yes,770 m²,,Residence
No,,Yes,Super equipped,,68 m²,2840 Rumst,1.0,2.0,3.0,,  280 000 €  ,RBT66244,https://immovlan.be/en/detail/residence/for-sale/2840/rumst/rbt66244,Normal,,,,,111 m²,Gas,Residence
No,,,Super equipped,,101 m²,2320 Hoogstraten,1.0,3.0,,,  319 000 €  ,RBT65268,https://immovlan.be/en/detail/duplex/for-sale/2320/hoogstraten/rbt65268,Normal,,30 m²,,Yes,,Gas,Duplex
No,Yes,Yes,,,102 m²,2440 Geel,1.0,2.0,2.0,2.0,  285 000 €  ,RBT65085,https://immovlan.be/en/detail/apartment/for-sale/2440/geel/rbt65085,New,,18 m²,,Yes,,,Apartment
,,Yes,,,77 m²,2530 Boechout,1.0,2.0,,2.0,  265 000 €  ,RBT63373,https://immovlan.be/en/detail/ground-floor/for-sale/2530/boechout/rbt63373,Normal,,,,,,Gas,Ground
No,Yes,,Fully equipped,Western kitchen,103 m²,2150 Borsbeek,1.0,3.0,2.0,2.0,  299 000 €  ,RBT72242,https://immovlan.be/en/detail/apartment/for-sale/2150/borsbeek/rbt72242,Excellent,,3 m²,No,Yes,,Hot air,Apartment
,Yes,Yes,,,164 m²,2490 Balen,,3.0,3.0,,  310 000 €  ,RBT72153,https://immovlan.be/en/detail/residence/for-sale/2490/balen/rbt72153,,,,No,Yes,325 m²,Gas,Residence
