property_code,type_of_property,price,locality,state_of_the_property,build_year,number_of_bedrooms,livable_surface,furnished,attic,kitchen_equipment,number_of_bathrooms,type_of_heating,elevator,orientation_of_the_front_facade,number_of_facades,garden,surface_garden,terrace,surface_terrace,total_land_surface,buildable_surface,ground_depth,gas,running_water,specific_primary_energy_consumption,epc/peb_reference,certification_-_electrical_installation,building_permission_granted,planning_permission_granted,preemption_right,urbanism_affectation,flooding_area_type,demarcated_flooding_area,property_url,currently_leased,availability,cellar,veranda,diningroom,dressing,wash_room,bike_storage,garage,number_of_toilets,frontage_width,number_of_parking_places_(outdoor),"certification_""as-build""",floor_of_appartment,number_of_floors,validity_date_epc/peb,solar_panels,surface_of_living-room,co2_emission,surface_of_the_veranda,surface_of_the_bathroom(s),type_of_glazing,entry_phone,access_for_disabled,g-score_the_g_score_represents_the_flood_risk_for_buildings_over_25m²_and_is_composed_of_4_classes_(a_to_d)class_a:_no_modeled_floodingclass_b:_low_flood_risk_under_2050_climate_changeclass_c:_low_risk_of_flooding_in_the_current_climateclass_d:_middle_risk_of_flooding_in_the_current_climate,the_g_score_represents_the_flood_risk_for_buildings_over_25m²_and_is_composed_of_4_classes_(a_to_d),p-score_the_p_score_represents_the_flood_risk_for_plots_(land)_and_is_composed_of_4_classes_(a_to_d)class_a:_no_modeled_floodingclass_b:_low_flood_risk_under_2050_climate_changeclass_c:_low_risk_of_flooding_in_the_current_climateclass_d:_middle_risk_of_flooding_in_the_current_climate,the_p_score_represents_the_flood_risk_for_plots_(land)_and_is_composed_of_4_classes_(a_to_d),the_property_and/or_its_surroundings_are_protected.,surface_bedroom_1,surface_bedroom_2,surface_bedroom_3,kitchen_type,number_of_showers,heat_pump,air_conditioning,terrace_orientation,sewer_connection,swimming_pool,water_sensitive_open_space_areas,alarm,balcony,number_of_garages,office_surface,5eac6ba7cc054493bc01156c52f523f4.pdf,96fd644af5ea4249beaada48c384a3a3.pdf,f26105c6771c4cc8bb4fb17eaa91dad7.pdf,5eec9cc49d7a477cacea349a321c69a7.pdf,abebf272e3c54660811902d214fb81d1.pdf,surface_kitchen,security_door,surface_bedroom_4,surface_bedroom_5,terrain_width_at_the_roadside
RBT69212,Residence,  239 000 €  ,2500 Lier,To be renovated,1899,3,99 m²,No,Yes,Partially equipped,1,Gas,No,North-west,2,Yes,18 m²,Yes,18 m²,81 m²,61 m²,20 m,Yes,Yes,526 kWh/m²/year,20250227-0003540517-RES-1,Not applicable,No,No,Yes,"Residential zone (residential, urban)",no flooding area,(information not available),https://immovlan.be/en/detail/residence/for-sale/2500/lier/rbt69212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBT67563,Residence,  310 000 €  ,2440 Geel,Normal,1980,3,123 m²,No,No,Super equipped,1,Fuel oil,No,East,3,Yes,,Yes,,505 m²,,,,Yes,291 kWh/m²/year,0003602273-RES-1,Not applicable,,,No,"Residential zone (residential, urban)",no flooding area,(information not available),https://immovlan.be/en/detail/residence/for-sale/2440/geel/rbt67563,No,On contract,No,No,No,No,No,No,Yes,2,7 m,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBT67578,Apartment,  195 000 €  ,2260 Zoerle-Parwijs,Normal,1967,2,102 m²,No,No,,1,,No,,2,,,,,,,,,,257 kWh/m²/year,,"yes, certificate in accordance",,,No,"Residential zone (residential, urban)",no flooding area,(information not available),https://immovlan.be/en/detail/apartment/for-sale/2260/zoerle-parwijs/rbt67578,No,Immediately,No,No,No,No,No,No,,1,,,,1,2,03/10/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBT67552,Apartment,  302 000 €  ,2500 Lier,New,2023,2,93 m²,No,No,Super equipped,1,Gas,Yes,South,2,Yes,,Yes,8 m²,,,,,Yes,,,"yes, certificate in accordance",,,No,"Residential zone (residential, urban)",no flooding area,(information not available),https://immovlan.be/en/detail/apartment/for-sale/2500/lier/rbt67552,No,Immediately,No,No,No,No,No,No,,1,,,No,,3,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBT67551,Apartment,  361 200 €  ,2500 Lier,New,2023,2,116 m²,No,No,Super equipped,1,Gas,Yes,South,2,Yes,27 m²,Yes,8 m²,,,,,Yes,,,"yes, certificate in accordance",,,No,"Residential zone (residential, urban)",no flooding area,(information not available),https://immovlan.be/en/detail/apartment/for-sale/2500/lier/rbt67551,No,Immediately,No,No,No,No,No,No,,1,,,No,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBT66812,Residence,  239 000 €  ,2300 Turnhout,Normal,1973,2,126 m²,No,No,Partially equipped,1,Gas,No,North,2,Yes,39 m²,,,137 m²,56 m²,27 m,Yes,Yes,300 kWh/m²/year,20241221-0003487385-RES-1,"No, certificate does not comply",,,No,"Residential zone (residential, urban)",no flooding area,(information not available),https://immovlan.be/en/detail/residence/for-sale/2300/turnhout/rbt66812,No,On contract,No,No,No,No,No,No,,1,5 m,,,,,21/12/2034,,15 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBT66872,Ground,  275 000 €  ,2650 Edegem,,1954,2,71 m²,No,No,,1,,No,North,,,,,,,,,,,250 kWh/m²/year,202103316-0002388160-RES-1,Not applicable,,,No,"Residential zone (residential, urban)",no flooding area,(information not available),https://immovlan.be/en/detail/ground-floor/for-sale/2650/edegem/rbt66872,No,On contract,No,No,No,No,No,No,,1,,,,,,16/03/2031,,,61030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBT66859,Apartment,  169 000 €  ,2300 Turnhout,To be renovated,1972,3,118 m²,No,No,,1,Gas,No,North-east,3,,,Yes,,,,,Yes,Yes,262 kWh/m²/year,2143350,"yes, certificate in accordance",,,No,"Residential zone (residential, urban)", actual flooding area,(information not available),https://immovlan.be/en/detail/apartment/for-sale/2300/turnhout/rbt66859,No,On contract,No,No,No,No,No,No,Yes,2,,,No,4,5,21/03/2029,,41 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBT66819,Residence,  275 000 €  ,2300 Turnhout,Normal,,2,133 m²,No,No,,1,Gas,No,East,2,Yes,75 m²,Yes,,165 m²,105 m²,,Yes,Yes,281 kWh/m²/year,,"yes, certificate in accordance",,,No,"Residential zone (residential, urban)",no flooding area,(information not available),https://immovlan.be/en/detail/residence/for-sale/2300/turnhout/rbt66819,No,,No,No,No,No,No,No,,,,,,,,06/11/2031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBT66818,Residence,  239 000 €  ,2300 Turnhout,,1899,3,155 m²,No,No,,1,Gas,No,South,2,Yes,175 m²,,,313 m²,89 m²,61 m,Yes,Yes,251 kWh/m²/year,20230906-0002979054-RES-1,Not applicable,,,No,"Residential zone (residential, urban)",no flooding area,(information not available),https://immovlan.be/en/detail/residence/for-sale/2300/turnhout/rbt66818,No,On contract,No,No,No,No,No,No,,1,5 m,,,,,06/09/2033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
